ID,DATASET,curated_smiles,HBD,HBA,MolWt,LogP,TPSA,NumRotatableBonds,NumOxygens,NumNitrogens
DiaNatDB-1,DiaNat-DB,O=C(O)C1=C[C@@H](O)[C@@H](O)[C@H](O)C1,4.0,4.0,174.152,-1.5162000000000004,97.99000000000001,1.0,0.0,0.0
DiaNatDB-10,DiaNat-DB,C=C(C)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1.0,1.0,426.72900000000027,8.02480000000001,20.23,1.0,0.0,0.0
DiaNatDB-100,DiaNat-DB,C=C(CC[C@@H](C)[C@H]1CC[C@@]2(C)C3CC[C@H]4C(C)(C)[C@@H](O)CC[C@@]45C[C@@]35CC[C@]12C)C(C)C,1.0,1.0,440.7560000000003,8.414900000000006,20.23,5.0,0.0,0.0
DiaNatDB-101,DiaNat-DB,Cc1ccc2c(c1)C(=O)CCO2,0.0,2.0,162.18799999999996,1.9602199999999999,26.3,0.0,0.0,0.0
DiaNatDB-102,DiaNat-DB,CC(=O)c1ccccc1,0.0,1.0,120.15099999999995,1.8892,17.07,1.0,0.0,0.0
DiaNatDB-103,DiaNat-DB,C=C(C)C(O)Cc1c(O)c(C(=O)C(C)CC)c(O)c2c1oc1c(C(=O)C(C)CC)c(O)c(CC=C(C)C)c(O)c12,5.0,8.0,552.6640000000004,6.8542000000000085,148.42999999999998,11.0,0.0,0.0
DiaNatDB-104,DiaNat-DB,COC(=O)C1=CO[C@@H](C)[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,1.0,4.0,352.434,3.1788000000000016,54.56,1.0,0.0,0.0
DiaNatDB-105,DiaNat-DB,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,2.0,4.0,326.44,1.5545,46.94,1.0,0.0,0.0
DiaNatDB-106,DiaNat-DB,C=CCS[S+]([O-])CC=C,0.0,2.0,162.27899999999997,1.7553,23.06,5.0,0.0,0.0
DiaNatDB-107,DiaNat-DB,OC[C@H]1N[C@H](CO)[C@@H](O)C(O)[C@H]1O,6.0,6.0,193.199,-3.6058999999999988,113.18,2.0,0.0,0.0
DiaNatDB-108,DiaNat-DB,C=C1CCC2C(C)(CO)C(O)CC[C@@]2(C)[C@@H]1C/C=C1/C(=O)OCC1O,3.0,5.0,350.4550000000001,1.9625999999999997,86.99000000000001,3.0,0.0,0.0
DiaNatDB-109,DiaNat-DB,COC(=O)C1=CCCN(C)C1,0.0,3.0,155.197,0.4213,29.54,1.0,0.0,0.0
DiaNatDB-11,DiaNat-DB,CC1=CC(=O)C(C(C)C)=CC1=O,0.0,2.0,164.20399999999998,1.6669,34.14,1.0,0.0,0.0
DiaNatDB-110,DiaNat-DB,C=C[C@@](C)(/C=C/c1ccc(O)cc1)CCC=C(C)C,1.0,1.0,256.38899999999995,5.344100000000004,20.23,6.0,0.0,0.0
DiaNatDB-111,DiaNat-DB,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@H](O)[C@H](O)[C@@](C)(CO)C5=CC[C@]43C)[C@@H]2C1,4.0,4.0,486.69300000000027,5.096900000000005,97.99000000000001,2.0,0.0,0.0
DiaNatDB-112,DiaNat-DB,COc1cc(O)c2c(=O)c3c(O)ccc(O)c3oc2c1,3.0,6.0,274.228,2.071600000000001,100.13000000000001,1.0,0.0,0.0
DiaNatDB-113,DiaNat-DB,COc1c(O)cc2c(c1O)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OC2=O,5.0,9.0,328.2730000000001,-1.2006000000000006,145.91,2.0,0.0,0.0
DiaNatDB-114,DiaNat-DB,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,1.0,1.0,414.7180000000003,8.02480000000001,20.23,6.0,0.0,0.0
DiaNatDB-115,DiaNat-DB,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@H]7O[C@@](O)(C(=O)O)C(OCC(=O)O)O[C@@H]7[C@H]6O)C(C)(C)C5CC[C@]43C)[C@@H]2C1,6.0,11.0,792.916,4.412800000000004,235.80999999999997,8.0,0.0,0.0
