DATASET,ID,curated_smiles,PC1,PC2,PC3
DiaNat-DB,DiaNatDB-1,O=C(O)C1=C[C@@H](O)[C@@H](O)[C@H](O)C1,-0.7265054962486319,-1.5745554733956848,-0.7579826565244725
DiaNat-DB,DiaNatDB-10,C=C(C)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,-2.36532886620022,1.4535959662220015,-0.4246665769973375
DiaNat-DB,DiaNatDB-100,C=C(CC[C@@H](C)[C@H]1CC[C@@]2(C)C3CC[C@H]4C(C)(C)[C@@H](O)CC[C@@]45C[C@@]35CC[C@]12C)C(C)C,-2.184376157706713,2.1063284055768263,-0.0946538172030043
DiaNat-DB,DiaNatDB-101,Cc1ccc2c(c1)C(=O)CCO2,-2.4649264622288642,-0.6016072033178826,-0.8010817223145615
DiaNat-DB,DiaNatDB-102,CC(=O)c1ccccc1,-2.743548305816815,-0.5452285835011353,-0.7505295494568096
DiaNat-DB,DiaNatDB-103,C=C(C)C(O)Cc1c(O)c(C(=O)C(C)CC)c(O)c2c1oc1c(C(=O)C(C)CC)c(O)c(CC=C(C)C)c(O)c12,1.0320989223490393,2.323336737576015,0.43374497313059
DiaNat-DB,DiaNatDB-104,COC(=O)C1=CO[C@@H](C)[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,-1.9018971468217318,-0.8636353828643721,2.7816091600398973
DiaNat-DB,DiaNatDB-105,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,-1.8481045534244396,-1.3381557032859188,2.7457400677685455
DiaNat-DB,DiaNatDB-106,C=CCS[S+]([O-])CC=C,-2.341774320486492,0.023284797910071833,-0.40487490275575705
DiaNat-DB,DiaNatDB-107,OC[C@H]1N[C@H](CO)[C@@H](O)C(O)[C@H]1O,-0.1388936033805765,-2.513551670186974,0.9838244162940013
DiaNat-DB,DiaNatDB-108,C=C1CCC2C(C)(CO)C(O)CC[C@@]2(C)[C@@H]1C/C=C1/C(=O)OCC1O,-0.6147455339048661,-0.08628625573111501,-0.42155730719278733
DiaNat-DB,DiaNatDB-109,COC(=O)C1=CCCN(C)C1,-2.4075586033125154,-1.3359494162191812,0.9199870986703093
DiaNat-DB,DiaNatDB-11,CC1=CC(=O)C(C(C)C)=CC1=O,-2.351680039177297,-0.5412929641872658,-0.7233053662576318
