ID,DATASET,curated_smiles,tSNE1,tSNE2
DiaNatDB-1,DiaNat-DB,O=C(O)C1=C[C@@H](O)[C@@H](O)[C@H](O)C1,22.562714,38.05103
DiaNatDB-10,DiaNat-DB,C=C(C)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,-68.43469,-16.327606
DiaNatDB-100,DiaNat-DB,C=C(CC[C@@H](C)[C@H]1CC[C@@]2(C)C3CC[C@H]4C(C)(C)[C@@H](O)CC[C@@]45C[C@@]35CC[C@]12C)C(C)C,-36.625305,-40.84292
DiaNatDB-101,DiaNat-DB,Cc1ccc2c(c1)C(=O)CCO2,7.061163,24.392904
DiaNatDB-102,DiaNat-DB,CC(=O)c1ccccc1,15.390281,2.336195
DiaNatDB-103,DiaNat-DB,C=C(C)C(O)Cc1c(O)c(C(=O)C(C)CC)c(O)c2c1oc1c(C(=O)C(C)CC)c(O)c(CC=C(C)C)c(O)c12,41.09679,-4.9367247
DiaNatDB-104,DiaNat-DB,COC(=O)C1=CO[C@@H](C)[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,23.091913,13.421314
DiaNatDB-105,DiaNat-DB,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,-39.262547,7.310773
DiaNatDB-106,DiaNat-DB,C=CCS[S+]([O-])CC=C,-42.005875,-59.414265
DiaNatDB-107,DiaNat-DB,OC[C@H]1N[C@H](CO)[C@@H](O)C(O)[C@H]1O,-41.305603,-51.648327
DiaNatDB-108,DiaNat-DB,C=C1CCC2C(C)(CO)C(O)CC[C@@]2(C)[C@@H]1C/C=C1/C(=O)OCC1O,0.8691561,-16.015493
DiaNatDB-109,DiaNat-DB,COC(=O)C1=CCCN(C)C1,5.2905626,0.90741444
DiaNatDB-11,DiaNat-DB,CC1=CC(=O)C(C(C)C)=CC1=O,-9.67102,45.725315
DiaNatDB-110,DiaNat-DB,C=C[C@@](C)(/C=C/c1ccc(O)cc1)CCC=C(C)C,1.4253502,-30.597025
DiaNatDB-111,DiaNat-DB,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@H](O)[C@H](O)[C@@](C)(CO)C5=CC[C@]43C)[C@@H]2C1,-76.79017,2.318468
DiaNatDB-112,DiaNat-DB,COc1cc(O)c2c(=O)c3c(O)ccc(O)c3oc2c1,58.534866,40.654858
DiaNatDB-113,DiaNat-DB,COc1c(O)cc2c(c1O)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OC2=O,39.287518,6.391182
DiaNatDB-114,DiaNat-DB,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,-51.75864,-41.77861
DiaNatDB-115,DiaNat-DB,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@H]7O[C@@](O)(C(=O)O)C(OCC(=O)O)O[C@@H]7[C@H]6O)C(C)(C)C5CC[C@]43C)[C@@H]2C1,-78.073875,1.7335814
DiaNatDB-116,DiaNat-DB,O=C(O)[C@H]1O[C@@H](Oc2cc3oc(-c4ccc(O)cc4)cc(=O)c3c(O)c2O)[C@H](O)[C@@H](O)[C@@H]1O,83.956665,17.001898
DiaNatDB-117,DiaNat-DB,O=C(O)/C=C/c1ccc(O)c(O)c1,40.35679,-13.684537
DiaNatDB-118,DiaNat-DB,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,7.9019456,-47.57031
DiaNatDB-119,DiaNat-DB,C=C(C)C1CC=C(C)C(=O)C1,5.4672275,-4.698843
DiaNatDB-120,DiaNat-DB,O[C@H]1[C@H](O)[C@@H](O)CN2CC[C@H](O)[C@H]12,-5.9311256,-17.490837
DiaNatDB-121,DiaNat-DB,CC(O)(CC(=O)O)CC(=O)OCC1O[C@@H](Oc2cc(O)c3c(=O)cc(-c4ccc(O)cc4)oc3c2)C(O)[C@@H](O)[C@@H]1O,88.41457,11.458841
DiaNatDB-122,DiaNat-DB,O=C1C[C@H](c2ccc(O)c(O)c2)c2c(cc(O)c3c2O[C@H](c2ccc(O)c(O)c2)[C@H](O)C3)O1,31.785192,65.824104
DiaNatDB-123,DiaNat-DB,O=c1ccc2ccccc2o1,59.199085,-4.817159
DiaNatDB-124,DiaNat-DB,Cn1c2c3ccccc3nc-2cc2ccccc21,5.3509254,12.832743
DiaNatDB-125,DiaNat-DB,CC(C)CCCC(C)C1CCC2(C)C3CCC4C(C)(C)C(O)CCC45CC35CCC12C,-10.694288,-50.463406
DiaNatDB-126,DiaNat-DB,OC1C(O)C(O)C(O)C(O)C1O,-10.52199,0.75199205
DiaNatDB-127,DiaNat-DB,CC1O[C@@H](Oc2c(-c3cc(O)c(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)C(O)[C@H]1O,69.67416,20.05748
DiaNatDB-128,DiaNat-DB,COC1[C@@H](O)[C@@H](O)C(O)[C@H](O)[C@H]1O,-28.747599,-8.689612
DiaNatDB-129,DiaNat-DB,Oc1cc(O)c2c(c1)O[C@H](c1cc(O)c(O)c(O)c1)[C@H](O)C2,31.122103,62.69675
DiaNatDB-13,DiaNat-DB,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,81.027664,13.963679
DiaNatDB-130,DiaNat-DB,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,33.541805,62.033966
DiaNatDB-131,DiaNat-DB,C=C1CC[C@H]2C(C)=CC[C@H]3C(=C)C(=O)O[C@@H]3[C@@H]12,-42.26452,-12.245582
DiaNatDB-132,DiaNat-DB,C=CCc1ccc(O)c(OC)c1,43.568924,-24.48745
DiaNatDB-133,DiaNat-DB,OC[C@H]1NCC[C@@H](O)[C@@H]1O,-45.463596,-53.075962
DiaNatDB-134,DiaNat-DB,OC[C@H]1O[C@H](OC[C@H]2O[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,-39.275143,-32.250084
DiaNatDB-135,DiaNat-DB,CC(C)=CCN=C(N)N,1.8418306,-28.322142
DiaNatDB-136,DiaNat-DB,O=C1O[C@H]2[C@@H]3OC(=O)c4cc(O)c(O)c(O)c4-c4c(cc(O)c(O)c4O)C(=O)OC[C@H]2O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]3OC(=O)c2cc(O)c(O)c3c2[C@@H]2C1=CC(=O)[C@](O)(O3)C2(O)O,6.5460773,82.056435
DiaNatDB-137,DiaNat-DB,CC/C(C)=C/CC[C@](C)(O)C1CC[C@]2(C)C3C[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)C4C(C)(C)C(O)CC[C@]4(C)C3C[C@H](O)C12,-1.7447708,-7.658722
DiaNatDB-138,DiaNat-DB,Cc1cc2c([nH]c3ccccc32)c2c1OC(C)(C)C=C2,26.292633,36.415447
DiaNatDB-139,DiaNat-DB,COc1cc2oc(=O)c(-c3ccc(O)cc3O)cc2c(OC)c1CC=C(C)C,58.34175,4.6505194
DiaNatDB-14,DiaNat-DB,C/C=C1/[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)OC)[C@H]1CC(=O)OCCc1ccc(O)c(O)c1,52.054985,-39.944103
DiaNatDB-140,DiaNat-DB,CC1(C)[C@@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,-55.9066,19.621557
DiaNatDB-141,DiaNat-DB,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,-28.232882,52.415573
DiaNatDB-142,DiaNat-DB,O=c1c(O[C@@H]2OC[C@H](O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,67.95026,17.960585
DiaNatDB-143,DiaNat-DB,C/C=C(\C)C(=O)O[C@H]1[C@H](O)[C@]2(COC(C)=O)[C@@H](O)C[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2CC1(C)C,-78.05841,-7.0776005
DiaNatDB-144,DiaNat-DB,C[C@]1(OC(=O)/C=C/c2ccccc2)C[C@@H](O)[C@]2(O)C=CO[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H]21,38.75842,-64.323395
DiaNatDB-145,DiaNat-DB,CO[C@@H]1C[C@](C)(OC(=O)/C=C/c2ccccc2)[C@@H]2[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)OC=C[C@]21O,38.758957,-64.32286
DiaNatDB-146,DiaNat-DB,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1,-76.93823,2.2137184
DiaNatDB-147,DiaNat-DB,COc1cc(C2Oc3ccc(-c4cc(=O)c5c(O)cc(O)cc5o4)cc3OC2CO)ccc1O,80.73524,14.378951
DiaNatDB-148,DiaNat-DB,COc1cc(/C=C(\CO)c2cc([C@@H]3Oc4cc(-c5cc(=O)c6c(O)cc(O)cc6o5)ccc4O[C@H]3CO)cc(OC)c2O)ccc1O,80.60876,14.50464
DiaNatDB-149,DiaNat-DB,C=C(CO)C(=O)O[C@H]1C[C@@]23O[C@@H]2CC/C(=C/[C@H]2OC(=O)C(=C)[C@H]12)CO[C@H]3O,-35.961796,-16.29845
DiaNatDB-15,DiaNat-DB,C=C[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C2C(=O)OCC[C@H]21,14.2097225,-22.963907
DiaNatDB-150,DiaNat-DB,C=C1CC1CC(N)C(=O)O,9.387459,-36.81747
DiaNatDB-151,DiaNat-DB,C=C1CC1CC(NC(=O)CCC(N)C(=O)O)C(=O)O,9.332213,-37.34746
DiaNatDB-152,DiaNat-DB,COCC1[C@H](COC)Cc2cc(OC)c3c(c2[C@@H]1c1ccc(OC)c(OC)c1)OCO3,3.7112486,57.38563
DiaNatDB-153,DiaNat-DB,O=C(O)Cc1c[nH]c2ccccc12,20.106972,-29.018059
DiaNatDB-154,DiaNat-DB,COc1cc2c(cc1O)CC[n+]1cc3c(OC)c(OC)ccc3cc1-2,24.86345,-19.277485
DiaNatDB-155,DiaNat-DB,C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2CC[C@@H]1C3,-54.864433,-20.626383
DiaNatDB-156,DiaNat-DB,COc1ccc([C@H]2Oc3c(c(O)cc(O)c3[C@H]3C(=O)c4c(O)cc(O)cc4O[C@@H]3c3ccc(O)cc3)C(=O)[C@@H]2O)cc1O,31.827839,56.825443
DiaNatDB-157,DiaNat-DB,O=S(=O)([O-])O[C@@H]([C@H](O)[C@H](O)[C@@H](O)CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO,-21.679728,-39.076073
DiaNatDB-158,DiaNat-DB,Nc1nccc(C[C@H](N)C(=O)O)n1,16.397081,-32.505383
DiaNatDB-159,DiaNat-DB,C=C1CN(S(=O)(=O)c2ccc(C)cc2)CCCN(Cc2ccccc2)CCCN(S(=O)(=O)c2ccc(C)cc2)C1,6.9708714,19.182945
DiaNatDB-16,DiaNat-DB,C=C[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2OC(=O)c2c(O)cc(O)cc2-c2cccc(O)c2)OC=C2C(=O)OCC[C@]21O,13.892154,-24.238695
DiaNatDB-160,DiaNat-DB,CN[C@@H](C)[C@H](O)c1ccccc1,14.527033,-1.6012397
DiaNatDB-161,DiaNat-DB,Cc1ccnc2ccccc12,1.2836097,27.742983
DiaNatDB-162,DiaNat-DB,Oc1cc(O)c2c(c1)OC(c1cc(O)c(O)c(O)c1)C(O)C2O,71.362595,42.369484
DiaNatDB-163,DiaNat-DB,Oc1ccc(C2Oc3cc(O)cc(O)c3C(O)C2O)cc1,71.3616,42.378445
DiaNatDB-164,DiaNat-DB,O=C(/C=C/c1ccc(O)c2c1C(C(=O)OC(Cc1ccc(O)c(O)c1)C(=O)O)C(c1cc(O)cc(O)c1)O2)OC(Cc1ccc(O)c(O)c1)C(=O)O,49.07061,-26.521202
DiaNatDB-165,DiaNat-DB,O=C1CCC[C@@H]2[C@H]3C[C@@H](CN12)[C@@H]1CCCCN1C3,-36.295055,24.067547
DiaNatDB-166,DiaNat-DB,C[C@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc1ccc(O)c(O)c1,68.03214,-39.022396
DiaNatDB-167,DiaNat-DB,COc1c(O)cc(-c2oc3cc(O)cc(O)c3c(=O)c2O[C@@H]2OC(C)[C@H](O)C(O)[C@@H]2O)cc1O,69.50294,20.089525
DiaNatDB-168,DiaNat-DB,COc1cc(O)c2c(=O)c3c(O)ccc(OC)c3oc2c1,59.22774,39.641846
DiaNatDB-169,DiaNat-DB,C=C(NC1CC1)C(=O)O,-11.516042,-2.2778249
