ID,DATASET,curated_smiles,component1,component2
UNPD_subset_A_7193,UNPD-A,C=C[C@@](C)(CC/C=C(\C)CC/C=C(\C)[C@H](O)[C@@H](O)C=C(C)C)Oc1ccc(O)cc1CC(=O)OC,45.35041046142578,33.72657775878906
UNPD_subset_A_9789,UNPD-A,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](CO)O[C@@H](OCCc3ccccc3)[C@@H]2O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,31.428943634033203,29.30048942565918
UNPD_subset_A_9790,UNPD-A,OC[C@]1(O)COc2cc(O)ccc2-c2cc(O)c(O)cc2C1,-0.6268762946128845,-9.061254501342773
UNPD_subset_A_9791,UNPD-A,OC[C@@H]1CC[C@H]2CCCC[C@H]2C1,-26.3211669921875,-2.3716790676116943
UNPD_subset_A_9792,UNPD-A,OC[C@@H]1[C@@H](O)[C@H](O)[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)CN21,-4.443808078765869,21.933347702026367
UNPD_subset_A_9793,UNPD-A,Cc1ccc2cc(C)c(C)cc2c1,2.4623873233795166,-26.252426147460938
UNPD_subset_A_9794,UNPD-A,COc1c(C)c(C)c2[nH]c3ccccc3c2c1OC,-22.976613998413086,-44.4224739074707
UNPD_subset_A_9795,UNPD-A,C=C1/C=C/[C@H](C(C)C)C/C=C(/C)CCC1,-45.83360290527344,-16.128131866455078
UNPD_subset_A_9796,UNPD-A,COc1cc2c(c(OC)c1OC)C=CC(C)(C)O2,32.07858657836914,-42.80717849731445
UNPD_subset_A_9797,UNPD-A,Cc1ccc2ccccc2c1,2.5067360401153564,-26.17286491394043
UNPD_subset_A_9798,UNPD-A,CN[C@H]1CC[C@]23C[C@]24CC[C@]2(C)[C@@H]([C@H](C)N(C)C)CC[C@@]2(C)[C@@H]4C=C[C@H]3C1(C)C,-31.10301971435547,41.68000030517578
UNPD_subset_A_9799,UNPD-A,CC#CC#CC#CC#CC#C[C@H]1CO1,-20.78083038330078,74.39994049072266
UNPD_subset_A_9800,UNPD-A,COc1cc2c(cc1OC)[C@@H]1CN(C)[C@H](C2)c2cc(OC)c(OC)cc21,-50.39622116088867,-49.391361236572266
UNPD_subset_A_9788,UNPD-A,Oc1ccc([C@H]2Oc3cc(O)cc4c3[C@@H]2c2cc(O)cc(O)c2[C@@H]4[C@@H](O)c2ccc(O)cc2)cc1,27.778186798095703,-65.77297973632812
UNPD_subset_A_9801,UNPD-A,Cc1c(=N)[nH]c(C)c2c1[nH]c1ccccc12,-23.063751220703125,-44.4329719543457
UNPD_subset_A_9803,UNPD-A,CC1(C)CC[C@]2(C)CC[C@]3(C)[C@@H]4CC[C@H]5C(C)(C)CCC[C@]5(C)C4=CC[C@@]3(C)[C@@H]2C1,-64.75030517578125,19.289840698242188
UNPD_subset_A_9804,UNPD-A,CC1(C)CCC[C@]2(C)[C@H]3CCCCCO[C@]3(C)CC[C@@H]12,-50.183250427246094,17.95427703857422
UNPD_subset_A_9805,UNPD-A,COc1ccc2c(c1)OCc1c-2oc2cc(OC)ccc12,27.666112899780273,-37.192535400390625
